Benchmark Summary Report
======================
Generated on: 2025-03-28 15:53:38

File Size | Window | Index Type | DIO     | Threads  | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
1TB       | 400    | Uniform    | Yes     | 8        | 76167.53     | 1.12     | 314923       | 2463.72    | 431.35    
1TB       | 400    | Header     | No      | 16       | 171058.18    | 2.00     | 9974         | 4341.69    | 187.88    
1TB       | 400    | Uniform    | No      | 16       | 130234.56    | 1.12     | 14445        | 5802.96    | 862.66    
1TB       | 400    | Header     | No      | 1        | 11463.05     | 2.00     | 497          | 262.09     | 11.74     
1TB       | 400    | Uniform    | No      | 1        | 10951.15     | 1.12     | 2388         | 270.41     | 53.92     
1TB       | 400    | Header     | No      | 2        | 23707.26     | 2.00     | 852          | 499.89     | 23.49     
1TB       | 400    | Uniform    | No      | 2        | 20897.51     | 1.12     | 3120         | 562.62     | 107.83    
1TB       | 400    | Header     | No      | 4        | 47283.95     | 2.00     | 1635         | 997.64     | 46.97     
1TB       | 400    | Uniform    | No      | 4        | 40160.74     | 1.12     | 4738         | 1173.95    | 215.68    
1TB       | 400    | Header     | No      | 8        | 91096.5      | 2.00     | 3916         | 2051.91    | 93.94     
1TB       | 400    | Uniform    | No      | 8        | 74570.28     | 1.12     | 8768         | 2525.53    | 431.33    
1TB       | 800    | Header     | Yes     | 16       | 95533.37     | 2.00     | 88593        | 7918.50    | 187.88    
1TB       | 800    | Uniform    | Yes     | 16       | 130426.02    | 1.00     | 837560       | 5781.33    | 1539.97   
1TB       | 800    | Header     | Yes     | 1        | 6315.48      | 2.00     | 4539         | 469.30     | 11.74     
1TB       | 800    | Uniform    | Yes     | 1        | 11065.84     | 1.00     | 51844        | 266.34     | 96.25     
1TB       | 800    | Header     | Yes     | 2        | 12444.18     | 2.00     | 6327         | 951.20     | 23.49     
1TB       | 800    | Uniform    | Yes     | 2        | 21381.26     | 1.00     | 96540        | 548.38     | 192.50    
1TB       | 800    | Header     | Yes     | 4        | 24635.03     | 2.00     | 33453        | 1916.21    | 46.97     
1TB       | 800    | Uniform    | Yes     | 4        | 41133.34     | 1.00     | 184716       | 1140.78    | 384.98    
1TB       | 800    | Header     | Yes     | 8        | 48951.88     | 2.00     | 47852        | 3858.67    | 93.94     
1TB       | 800    | Uniform    | Yes     | 8        | 76182.18     | 1.00     | 396639       | 2467.78    | 769.99    
1TB       | 800    | Header     | No      | 16       | 171340.8     | 2.00     | 9534         | 4337.00    | 187.89    
1TB       | 800    | Uniform    | No      | 16       | 91839.25     | 1.00     | 14946        | 8273.67    | 1539.96   
1TB       | 800    | Header     | No      | 1        | 10593.51     | 2.00     | 345          | 302.55     | 11.74     
1TB       | 800    | Uniform    | No      | 1        | 10368.51     | 1.00     | 2229         | 285.83     | 96.25     
1TB       | 800    | Header     | No      | 2        | 23395.88     | 2.00     | 783          | 503.28     | 23.48     
1TB       | 800    | Uniform    | No      | 2        | 19919.13     | 1.00     | 3053         | 592.20     | 192.49    
1TB       | 800    | Header     | No      | 4        | 46675.42     | 2.00     | 1812         | 1007.35    | 46.97     
1TB       | 800    | Uniform    | No      | 4        | 37357.12     | 1.00     | 5626         | 1259.37    | 384.98    
1TB       | 800    | Header     | No      | 8        | 91097.37     | 2.00     | 4033         | 2070.83    | 93.94     
1TB       | 800    | Uniform    | No      | 8        | 67844.22     | 1.00     | 10531        | 2784.30    | 769.98    
