Benchmark Summary Report
======================
Generated on: 2025-03-28 16:42:41

File Size | Window | Index Type | DIO     | Threads  | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
1TB       | 400    | Header     | Yes     | 2        | 11471.27     | 2.00     | 289187       | 1031.29    | 234.42    
1TB       | 400    | Uniform    | Yes     | 2        | 13266.7      | 1.74     | 90862        | 889.07     | 167.42    
1TB       | 400    | Header     | Yes     | 4        | 22361.91     | 2.00     | 572550       | 2117.09    | 468.84    
1TB       | 400    | Uniform    | Yes     | 4        | 25811.97     | 1.74     | 187612       | 1821.65    | 334.94    
1TB       | 400    | Header     | Yes     | 8        | 42359.86     | 2.00     | 1237348      | 4458.94    | 937.69    
1TB       | 400    | Uniform    | Yes     | 8        | 49139.39     | 1.74     | 367969       | 3824.63    | 669.77    
1TB       | 400    | Header     | No      | 16       | 63224.02     | 2.00     | 23452        | 11892.83   | 1875.38   
1TB       | 400    | Uniform    | No      | 16       | 75229.86     | 1.74     | 20105        | 9891.49    | 1339.50   
1TB       | 400    | Header     | No      | 1        | 9327.08      | 2.00     | 993          | 322.21     | 117.21    
1TB       | 400    | Uniform    | No      | 1        | 7152.86      | 1.75     | 2855         | 411.09     | 83.76     
1TB       | 400    | Header     | No      | 2        | 18258.07     | 2.00     | 3421         | 649.06     | 234.42    
1TB       | 400    | Uniform    | No      | 2        | 13190.33     | 1.74     | 3302         | 895.91     | 167.48    
1TB       | 400    | Header     | No      | 4        | 34148.32     | 2.00     | 7416         | 1376.57    | 468.84    
1TB       | 400    | Uniform    | No      | 4        | 25282.5      | 1.74     | 5707         | 1866.25    | 334.86    
1TB       | 400    | Header     | No      | 8        | 57985.08     | 2.00     | 16196        | 3260.50    | 937.69    
1TB       | 400    | Uniform    | No      | 8        | 48259.94     | 1.74     | 11185        | 3939.80    | 669.81    
1TB       | 800    | Header     | Yes     | 16       | 76509.07     | 2.00     | 2619379      | 9889.34    | 1875.39   
1TB       | 800    | Uniform    | Yes     | 16       | 99981.95     | 1.31     | 1751505      | 7532.74    | 2010.49   
1TB       | 800    | Header     | Yes     | 1        | 5877.84      | 2.00     | 155428       | 503.89     | 117.21    
1TB       | 800    | Uniform    | Yes     | 1        | 8525.95      | 1.31     | 84313        | 346.61     | 125.71    
1TB       | 800    | Header     | Yes     | 2        | 11470.56     | 2.00     | 277996       | 1031.01    | 234.43    
1TB       | 800    | Uniform    | Yes     | 2        | 16428.32     | 1.31     | 238526       | 715.29     | 251.33    
1TB       | 800    | Header     | Yes     | 4        | 22294.75     | 2.00     | 621258       | 2118.07    | 468.85    
1TB       | 800    | Uniform    | Yes     | 4        | 31582.52     | 1.31     | 391896       | 1487.78    | 502.54    
1TB       | 800    | Header     | Yes     | 8        | 42407.43     | 2.00     | 1128284      | 4461.11    | 937.69    
1TB       | 800    | Uniform    | Yes     | 8        | 58382.49     | 1.31     | 878838       | 3221.86    | 1005.23   
1TB       | 800    | Header     | No      | 16       | 65310.63     | 2.00     | 24469        | 11531.89   | 1875.39   
1TB       | 800    | Uniform    | No      | 16       | 67499.64     | 1.31     | 20541        | 11086.92   | 2010.62   
1TB       | 800    | Header     | No      | 1        | 9349.21      | 2.00     | 1243         | 322.90     | 117.21    
1TB       | 800    | Uniform    | No      | 1        | 7916.26      | 1.31     | 2468         | 371.59     | 125.67    
1TB       | 800    | Header     | No      | 2        | 18046.24     | 2.00     | 3236         | 651.71     | 234.42    
1TB       | 800    | Uniform    | No      | 2        | 14911.98     | 1.31     | 3002         | 793.94     | 251.36    
1TB       | 800    | Header     | No      | 4        | 33818.15     | 2.00     | 7640         | 1394.81    | 468.85    
1TB       | 800    | Uniform    | No      | 4        | 28219.48     | 1.31     | 5643         | 1672.90    | 502.60    
1TB       | 800    | Header     | No      | 8        | 57580.32     | 2.00     | 14400        | 3279.76    | 937.68    
1TB       | 800    | Uniform    | No      | 8        | 51671.67     | 1.31     | 11265        | 3663.89    | 1005.28   
